epoch,train_loss,val_loss,train_acc,val_acc,train_top3_acc,val_top3_acc
1,3.8338529677004427,3.8045771598815916,2.586206896551724,4.4673539518900345,8.620689655172415,10.652920962199312
2,3.7979297122439823,3.7957215547561645,3.6206896551724137,2.4054982817869415,9.39655172413793,5.841924398625429
3,3.7677534850868017,3.755418825149536,4.224137931034483,3.0927835051546393,10.948275862068966,13.058419243986254
4,3.7237158208279997,3.703950834274292,6.379310344827586,4.4673539518900345,15.0,13.058419243986254
5,3.679080260766519,3.664968156814575,6.379310344827586,5.154639175257732,17.413793103448278,15.463917525773196
6,3.605715803197912,3.691258764266968,7.155172413793103,5.841924398625429,18.017241379310345,16.49484536082474
7,3.5279555578489563,3.5421915292739867,8.53448275862069,6.185567010309279,22.75862068965517,22.68041237113402
8,3.4711377298509754,3.5449162483215333,8.53448275862069,6.8728522336769755,21.982758620689655,18.900343642611684
9,3.414063447230571,3.4842299938201906,11.46551724137931,7.560137457044673,24.482758620689655,21.305841924398624
10,3.286986293019475,3.429844069480896,13.10344827586207,8.934707903780069,27.586206896551722,20.61855670103093
11,3.2876878686853357,3.4485687971115113,12.758620689655173,8.24742268041237,28.53448275862069,26.804123711340207
12,3.1934199590940735,3.4017993688583372,14.827586206896552,11.34020618556701,32.241379310344826,25.42955326460481
13,3.076009969453554,3.4890838146209715,18.103448275862068,9.278350515463918,36.03448275862069,21.993127147766323
14,3.036381792377781,3.207068157196045,16.120689655172413,15.807560137457045,37.327586206896555,30.584192439862544
15,2.9006467767663904,3.255673551559448,18.189655172413794,10.652920962199312,38.706896551724135,27.835051546391753
16,2.854921527810999,3.535117197036743,20.603448275862068,10.309278350515465,42.41379310344828,22.33676975945017
17,3.0335499531513936,3.303913712501526,17.5,12.714776632302405,37.93103448275862,26.804123711340207
18,2.7306941135509595,3.017781710624695,25.25862068965517,16.49484536082474,47.241379310344826,36.76975945017182
19,2.7034030669444316,3.0172587394714356,25.17241379310345,16.151202749140893,46.37931034482759,38.487972508591064
20,2.7765120557836585,3.2424739360809327,21.29310344827586,10.996563573883162,42.758620689655174,29.209621993127147
21,2.549727807173858,2.9401344299316405,27.06896551724138,18.900343642611684,51.63793103448276,40.893470790378004
22,2.5734992478344894,2.890662980079651,27.06896551724138,18.900343642611684,50.08620689655172,41.92439862542955
23,2.430248624569661,2.8611167430877686,29.82758620689655,20.962199312714777,52.93103448275862,43.986254295532646
24,2.4290356636047363,2.9791414737701416,29.051724137931036,19.93127147766323,53.706896551724135,39.51890034364261
25,2.3761208411809562,2.801240110397339,31.29310344827586,20.962199312714777,55.775862068965516,42.61168384879725
26,2.32081083993654,3.064535641670227,31.29310344827586,17.869415807560138,57.5,37.11340206185567
