epoch,train_loss,val_loss,train_acc,val_acc
1,1.902980422973633,1.4791074693202972,36.898395721925134,52.99145299145299
2,1.1378950277964275,0.8969382271170616,72.72727272727273,79.05982905982906
3,0.6228128006060918,0.6925205811858177,90.05347593582887,81.19658119658119
4,0.4238149111469587,0.5083042643964291,93.90374331550802,86.75213675213675
5,0.22964403281609216,0.45086684450507164,98.6096256684492,88.88888888888889
6,0.1783519506454468,0.48467929661273956,98.6096256684492,88.03418803418803
7,0.13780821536978086,0.5013893991708755,99.03743315508021,88.03418803418803
8,0.183798794200023,0.41371335834264755,96.89839572192513,88.88888888888889
9,0.11594614783922831,0.45502645522356033,98.71657754010695,86.75213675213675
10,0.22010802514851094,0.665739543735981,95.18716577540107,76.06837606837607
11,0.12877225875854492,0.7508909702301025,97.86096256684492,79.91452991452991
12,0.13407750303546587,0.4489331590011716,97.00534759358288,88.88888888888889
13,0.1003014047940572,0.7166065368801355,98.71657754010695,80.76923076923077
14,0.19003998724122842,0.4545988757163286,95.72192513368984,89.31623931623932
15,0.07365378905087709,0.39135914854705334,99.03743315508021,90.5982905982906
16,0.03598631539692481,0.3689953461289406,99.78609625668449,90.17094017094017
17,0.028985197904209295,0.4531084205955267,100.0,88.88888888888889
18,0.024855253597100575,0.365143571048975,100.0,91.02564102564102
19,0.021831423230469226,0.3590919952839613,100.0,90.17094017094017
20,0.01984127393613259,0.36343954876065254,100.0,90.17094017094017
