epoch,train_loss,val_loss,train_acc,val_acc
1,1.7775371352831522,1.1977457255125046,41.283422459893046,60.68376068376068
2,0.7603724390268326,0.404731173068285,74.97326203208556,89.31623931623932
3,0.22597679253667594,0.17835168773308396,93.90374331550802,94.01709401709402
4,0.06697335634380579,0.1324019506573677,98.50267379679144,95.2991452991453
5,0.023603499680757523,0.12287232233211398,99.78609625668449,96.15384615384616
6,0.007768303745736679,0.09303448384162039,100.0,97.00854700854701
7,0.003631221146012346,0.07150001463014632,100.0,97.86324786324786
8,0.0026213024141422164,0.07157255453057587,100.0,97.86324786324786
9,0.002209950921436151,0.07000938424607739,100.0,97.86324786324786
10,0.0018512730641911427,0.06868833067710511,100.0,97.86324786324786
11,0.0015981541325648626,0.06724640951142646,100.0,97.86324786324786
12,0.0014531764279430111,0.06699509004829451,100.0,97.86324786324786
13,0.0012625199762017778,0.0656066980882315,100.0,97.86324786324786
14,0.0011156141272901246,0.06569570454303175,100.0,97.86324786324786
15,0.0010211987944785505,0.06526013962866273,100.0,97.86324786324786
16,0.0009094575846878191,0.06514436288853176,100.0,97.86324786324786
17,0.0008345239465901007,0.06492343165155035,100.0,97.86324786324786
18,0.0007657726081864287,0.06461206117819529,100.0,97.86324786324786
19,0.000707687590814506,0.06460577182588167,100.0,97.86324786324786
20,0.0006893507457183053,0.06478326363139786,100.0,97.86324786324786
