epoch,train_loss,val_loss,train_acc,val_acc,train_top3_acc,val_top3_acc
1,1.5231986754649394,2.506459355354309,34.741379310344826,11.34020618556701,74.22413793103448,42.61168384879725
2,1.520354058291461,1.4483500242233276,32.93103448275862,35.39518900343643,77.15517241379311,78.35051546391753
3,1.4667606772603214,1.4364744067192077,35.86206896551724,41.580756013745706,76.89655172413794,80.75601374570446
4,1.4553791961154423,1.414811944961548,37.758620689655174,41.92439862542955,78.44827586206897,80.41237113402062
5,1.4360233545303345,1.3952184557914733,38.53448275862069,43.29896907216495,79.91379310344827,77.31958762886597
6,1.4041470482542708,1.3540929913520814,41.206896551724135,43.29896907216495,81.03448275862068,79.38144329896907
7,1.4064898458687034,1.3672897815704346,38.44827586206897,46.735395189003434,80.25862068965517,80.06872852233677
8,1.3683797958734873,1.3391110479831696,41.89655172413793,45.017182130584196,80.60344827586206,82.81786941580756
9,1.3281631066992476,1.355392575263977,45.0,41.23711340206186,84.13793103448276,80.41237113402062
10,1.2760148837759688,1.3016344547271728,47.5,46.735395189003434,84.91379310344827,83.50515463917526
11,1.2744480435912673,1.271258419752121,48.87931034482759,42.61168384879725,85.43103448275862,85.91065292096219
12,1.2518300526850932,1.284548830986023,50.60344827586207,48.45360824742268,86.89655172413794,84.87972508591065
13,1.2118855118751526,1.246814113855362,50.258620689655174,47.766323024054984,88.96551724137932,85.91065292096219
14,1.1854712479823344,1.2210013926029206,53.275862068965516,50.171821305841924,89.13793103448276,87.97250859106529
15,1.1361312850101575,1.1412081480026246,55.172413793103445,50.85910652920962,89.65517241379311,85.91065292096219
16,1.1018062636658952,1.104383999109268,56.98275862068966,51.89003436426117,90.17241379310344,88.31615120274914
17,1.0853266361597422,1.1705509305000306,56.98275862068966,50.85910652920962,90.60344827586206,88.31615120274914
18,1.0958371565148637,1.1028943717479707,58.706896551724135,49.828178694158076,90.0,90.03436426116839
19,1.0686617831926088,1.085783389210701,58.10344827586207,49.828178694158076,91.63793103448276,89.69072164948453
20,1.0206503578134485,1.0728153586387634,60.86206896551724,53.264604810996566,91.98275862068965,90.37800687285224
21,1.0045388340950012,1.0148147195577621,61.12068965517241,53.95189003436426,91.63793103448276,91.40893470790378
22,0.979865863516524,1.0670132994651795,62.672413793103445,53.264604810996566,93.1896551724138,87.97250859106529
